,이름,주소
422,양산석산,경남 양산시 동면 석산리 1477-1 
423,천안성거,충남 천안시 서북구 성거읍 천흥리 427-2 
424,금곡,경기 남양주시 금곡동 156-40 
425,강릉포남,강원 강릉시 포남동 1291-5 
426,수원탑동,경기 수원시 권선구 757-1 
427,부산물만골역,부산 연제구 월드컵대로 12 
428,구미공단,경북 구미시 1공단로 212 
429,전남고흥,전남 고흥군고흥읍 여산당촌길 8 
430,창원동읍,경남 창원시 의창구 동읍 용잠리 364-1 
431,망원,서울 마포구 월드컵로 85 
432,마산진동,경남 창원시 마산합포구 진동면 진동리 850-1 
433,순창D/T,전북 순창군 순창읍 교성리 394-6 
434,이천증포,경기 이천시 이섭대천로 1403 
435,부천도당,경기 부천시 원미구 도당동 58-2 
436,광주신용,광주 북구 첨단연신로91번길 6 
437,서원대,충북 청주시 흥덕구 모충동 134-27 
438,대전관저,대전 서구 관저동 1008 
439,고양관산,경기 고양시 덕양구 관산동 231-29 
440,진주하대,경남 진주시 도동로 236 
441,제주삼화지구,제주 제주시 도련1동 1938-5 
442,대구진천역,대구 달서구 월배로 89 
443,논산연무,충남 논산시연무읍 안심로 152 
444,김포운양,경기 김포시 운양동 1299-1 
445,호매실DI,경기 수원시 권선구 호매실동 52-1 
446,인천청라호수공원,인천 서구 솔빛로 88 
447,부산다대포,부산 사하구 다대로 698 
448,거제아주,경남 거제시 아주1로 38 
449,일산대화역,경기 고양시 일산서구 대화동 2203-1 
450,김해내외D/I,경남 김해시 내외중앙로 42 
451,경북풍기,경북 영주시 풍기읍 27-16 
452,임실,전북 임실군임실읍 운수로 19 
453,부산남포,부산 중구 비프광장로 15 
454,여수웅천지구,전남 여수시 웅천동 예울마루로 37-16 
455,광주태전,경기 광주시 장지동 고불로 43-1 
456,대전한밭대,대전 유성구 덕명동 592-1 
457,익산배산,전북 익산시 모현동1가 871 
458,경남남지,경남 창녕군남지읍 문화길 35-4 
459,오금,"서울 송파구 동남로 313(오금동,1층) "
460,평택지산,경기 평택시 지산로 76 
461,원주태장,강원 원주시 북원로 2680 
462,세곡,서울 강남구 세곡동 281-4 
463,롯데백잠실광장,서울 송파구 잠실동 40-1 
464,군자,서울 광진구 천호대로 548 
465,보광,서울 용산구 보광동 223-6 
466,당진,충남 당진시 당진중앙1로 108 
467,방이역,서울 송파구 마천로 25 
468,부천시청역,경기 부천시 원미구 중동 1031-2 
469,상일동,서울 강동구 상일로 33 
470,롯데마트여천,전남 여수시 선원동 1268-2 
471,완주삼례,전북 완주군 삼례읍 삼례리 1405-31 
472,화성조암,경기 화성시 우정읍 쌍봉로 76 
473,대구청구네거리,대구 수성구 범어동 1109 
474,담양D/I,전남 담양군 담양읍 백동리 277-31 
475,인천불로,인천 서구 검단로744번1길 30 
476,서면일번가,부산 부산진구 서면로 46 
477,강동구청D/T,서울 강동구 성내동 319-1 
478,순천신대,전남 순천시 해룡면 신대리 1979-1 
479,경남함안,경남남도 함안군 성내남길 7-4
480,영천D/T,경북 영천시 조교동 733-2 
481,송도센트럴파크,"인천 연수구 센트럴로 160, 130호 "
482,부산토곡,부산 연제구 연산동 480-16 
483,후암,서울 용산구 후암동 27-13 
484,울산전하,울산 동구 전하동 동구 진성14길 77 
485,대소,충북 음성군 대소면 오산리 120-33 
486,서산호수공원,충남 서산시 예천동 1262-4 
487,부안,전북 부안군 부안읍 동중1리 124-2 
488,동대구역사2호,대구 동구 신암동 294 
489,인천검단,인천 서구 왕길동 639-4 
490,덕성여대,서울 강북구 수유동 279-84 
491,개봉,서울 구로구 고척동 52-197 
492,화성사강D/T,경기 화성시 송산면 사강리 736-4 
493,대전관평,대전 유성구 관평동 840 
494,의정부시청,경기 의정부시 의정부2동 490 
495,성주,경북 성주군 성주읍 경산리 165-5 
496,망포역,경기 수원시 영통구 영통동 979-7 
497,봉천역,서울 관악구 봉천동 930-45 
498,개포,서울 강남구 개포동 158-12 
499,녹번,서울 은평구 은평로 206 
500,시흥거모,경기 시흥시 도일로135번길 4 
501,홈플러스상봉,"서울 중랑구 상봉동 , "
502,온양D/T,충남 아산시 문화로 301-6 
503,용인양지,경기 용인시 처인구 양지면 남평로6 
504,수원곡반정,"경기 수원시 권선구 곡반정로 65번길 33, 102호 "
505,인천동춘,인천 연수구 앵고개로 246번길 33 
506,화천사내,강원 화천군 사내면 사내로 33 
