,이름,주소
248,대전신탄진DT점,대전 대덕구 신탄진로 605(지번) 상서동 834-7
249,제천DT점,충북 제천시 의림대로 202(지번) 청전동 165-5
250,대전유성DT점,대전 유성구 계룡로87번길 3(지번) 봉명동 446-5
251,대전카이스트점,대전 유성구 대덕대로 535(지번) 가정동 2-23
252,대전가장DT점,대전 서구 도산로 324(지번) 가장동 54-26
253,대전한남대DT점,대전 대덕구 한밭대로 1102(지번) 중리동 230-15
254,대전센트럴DT점,대전 중구 중앙로 64(지번) 대흥동 522-1
255,대전부사DT점,대전 중구 충무로 139(지번) 부사동 87-14
256,세이브존대전점,대전 서구 둔산로 201 한신코아백화점(지번) 둔산동 1809
257,대전가수원DT점,대전 서구 계백로 1124(지번) 가수원동 655-4
258,대전유천DT점,대전 중구 계백로 1549(지번) 유천동 327-33
259,대전터미널점,대전 동구 동서대로 1689 1층(지번) 용전동 63-3
260,목원대점,대전 유성구 도안북로 81(지번) 용계동 664-8
261,충남논산DT점,충남 논산시 시민로 247(지번) 내동 343-1
262,속초DT점,강원 속초시 동해대로 4118(지번) 조양동 636-53
263,군산나운DT점,전북 군산시 나운로 132(지번) 나운동 844-6
264,강릉점,강원 강릉시 경강로 2097(지번) 임당동 86
265,익산영등DT점,전북 익산시 무왕로 1046(지번) 영등동 747-8
266,전주덕진DT점,전북 전주시 덕진구 기린대로 503(지번) 덕진동1가 1401-18
267,전주중화산점,전북 전주시 완산구 백제대로 238(지번) 중화산동2가 648-11
268,전주효자DT점,전북 전주시 완산구 용머리로 13(지번) 효자동1가 411-5
269,전주송천DT점,전북 전주시 덕진구 송천중앙로 200(지번) 송천동2가 527-12
270,동해DT점,강원 동해시 한섬로 93(지번) 천곡동 1066
271,전주인후DT점,전북 전주시 덕진구 백제대로 692(지번) 인후동2가 1529-3
272,원광대점,전북 익산시 무왕로 888(지번) 신동 762-17
273,구미형곡점,경북 구미시 형곡중앙로 31(지번) 형곡동 146-9
274,김천평화DT점,경북 김천시 자산로 199(지번) 평화동 2-2
275,전주평화DT점,전북 전주시 완산구 모악로 4758(지번) 평화동1가 732-1
276,군산이마트점,전북 군산시 구암3.1로 137(지번) 경암동 590-296
277,구미도량DT점,경북 구미시 야은로 447(지번) 도량동 524-3
278,구미옥계DT점,경북 구미시 옥계2공단로 390(지번) 옥계동 362-1
279,구미인동DT,경북 구미시 인동북길 155(지번) 인의동 1004-6
280,전북정읍DT점,전북 정읍시 남북로 51(지번) 수성동 524-17
281,대구침산DT점,대구 북구 침산로 120(지번) 침산동 244-6
282,칠곡2DT점,대구 북구 구암로 83(지번) 읍내동 1385-2
283,대구수성DT점,대구 수성구 달구벌대로 2345(지번) 수성동4가 1020-2
284,대구복현DT점,대구 북구 동북로 303(지번) 복현동 364-5
285,대구진천DT점,대구 달서구 월배로 67(지번) 진천동 599-1
286,동성로2점,대구 중구 동성로 23-2(지번) 사일동 77
287,대구본리DT점,대구 달서구 와룡로 134(지번) 감삼동 346
288,대구태전DT점,대구 북구 칠곡중앙대로 303(지번) 태전동 409-12
289,대구두류DT점,대구 달서구 달구벌대로 1684(지번) 두류동 495-47
290,용산DT점,대구 달서구 용산로 222(지번) 용산동 934
291,대구이곡DT점,대구 달서구 이곡공원로 8(지번) 이곡동 1244-3
292,대구교대DT점,대구 남구 중앙대로 225(지번) 대명동 1793-5
293,대구평리DT점,대구 서구 서대구로 95(지번) 평리동 1407-1
294,대구상인DT점,대구 달서구 월곡로 338(지번) 상인동 54-2
295,대구희망DT점,대구 수성구 수성로 238(지번) 중동 70-10
296,대구모다DT점,대구 달서구 달서대로 455(지번) 호산동 720-2
297,광주첨단DT점,광주 북구 임방울대로 1048(지번) 용두동 311-15
298,대구동호DT점,대구 동구 안심로 403(지번) 신서동 718
299,대구다사DT점,대구 달성군 다사읍 달구벌대로 825(지번) 다사읍 죽곡리 5-23
300,광주산정DT점,광주 광산구 용아로 251(지번) 산정동 143-16
301,대구황금DT점,대구 수성구 청수로 157(지번) 황금동 567-11
302,동성로교보점,대구 중구 국채보상로 586 교보빌딩 1층(지번) 동성로2가 88-25
303,방촌DT점,대구 동구 동촌로 243(지번) 방촌동 883-9
304,전남대DT점,광주 북구 우치로 134(지번) 용봉동 127-1
305,광주월산DT점,"광주 남구 대남대로 393 1,2층(지번) 월산동 951-3"
306,대구시지DT점,대구 수성구 달구벌대로 3199(지번) 매호동 1087-1
307,상무점,광주 서구 치평로 72(지번) 치평동 1182
308,광주쌍촌DT점,광주 서구 상무대로 921-1(지번) 쌍촌동 964-9
309,대구만촌DT점,대구 수성구 달구벌대로 2634(지번) 만촌동 853-2
310,광주동림DT점,광주 북구 하남대로 635(지번) 동림동 900-41
311,광주운암DT점,광주 북구 북문대로187번길 2(지번) 운암동 1078-2
312,광주진월DT점,광주 남구 서문대로 697(지번) 진월동 291-7
313,영천DT점,경북 영천시 호국로 141(지번) 망정동 206-11
314,용봉DT점,광주 북구 설죽로 289(지번) 용봉동 1130-6
315,이마트월배점,대구 달서구 진천로 92(지번) 대천동 555
316,포항북부DT점,경북 포항시 북구 해안로 85(지번) 두호동 724
317,포항남부DT점,경북 포항시 남구 새천년대로 470(지번) 대잠동 915
318,경주황남DT점,경북 경주시 태종로 701(지번) 노서동 169-5
319,만촌이마트점,대구 수성구 동원로 136(지번) 만촌동 1356-5
320,진주칠암DT점,경남 진주시 진주대로 838(지번) 주약동 94-1
321,경주용강DT점,경북 경주시 산업로 4364(지번) 용강동 875
322,포항장성DT점,경북 포항시 북구 새천년대로 1261(지번) 장성동 1576-5
323,진주신안점,경남 진주시 진양호로 280(지번) 신안동 582-3
324,밀양DT점,경남 밀양시 밀양대로 1872(지번) 삼문동 397
325,경주보문DT점,경북 경주시 보문로 445(지번) 신평동 436
326,경주점,경북 경주시 중앙로 35(지번) 노동동 102-6
327,포항2점,경북 포항시 북구 중앙로 291(지번) 상원동 466-1
328,진주혁신GS DT점,경남 진주시 동진로 581(지번) 충무공동 222-1
329,순천조례DT점,전남 순천시 순광로 75(지번) 조례동 382-1
330,진주가좌DT점,경남 진주시 진주대로 612(지번) 가좌동 644-3
331,순천덕암DT점,전남 순천시 구암원길 1(지번) 덕암동 146-32
332,사천DT점,경남 사천시 사천읍 사천대로 1838(지번) 사천읍 수석리 320-11
333,목포하당DT점,전남 목포시 통일대로 88(지번) 상동 1126-1
334,창원역DT점,경남 창원시 의창구 의창대로 50(지번) 팔용동 149-5
335,목포석현DT점,전남 목포시 영산로 577(지번) 석현동 816-85
336,창원내서DT점,경남 창원시 마산회원구 내서읍 광려천서로 77(지번) 내서읍 중리 1043-11
337,광양DT점,전남 광양시 동광길 5(지번) 중동 1309-3
338,합성점,경남 창원시 마산회원구 3.15대로 742-1(지번) 합성동 126-1
339,창원사파DT점,경남 창원시 성산구 창이대로706번길 2(지번) 사파동 97-4
340,마산신포DT점,경남 창원시 마산합포구 서성로 8(지번) 신포동1가 25-1
341,목포남악DT점,전남 무안군 삼향읍 남악3로 58(지번) 삼향읍 남악리 2148
342,창원상남점,경남 창원시 성산구 단정로 22 더센텀 105호(지번) 상남동 35-1
343,신마산점,경남 창원시 마산합포구 월영동서로 20(지번) 해운동 34
344,양산DT점,경남 양산시 동면 남양산길 7(지번) 동면 석산리 1421-9
345,창원시티세븐점,경남 창원시 성산구 원이대로 320 더시티세븐몰 103호(지번) 대원동 121
346,울산호계SK점,울산 북구 산업로 1448(지번) 신천동 452-1
347,여수학동DT점,전남 여수시 망마로 9(지번) 학동 82-3
348,포항이마트점,경북 포항시 남구 냉천로 10(지번) 인덕동 161-176
349,울산굴화DT점,울산 울주군 범서읍 울밀로 2877(지번) 범서읍 굴화리 28-8
350,김해삼정DT점,경남 김해시 김해대로 2471(지번) 삼정동 616-3
351,김해장유DT점,경남 김해시 삼문로 34(지번) 대청동 316-1
352,양산북정DT점,경남 양산시 양산대로 925(지번) 신기동 545-7
353,울산삼산로DT점,울산 남구 삼산로 230(지번) 달동 1253-1
354,김해외동DT점,경남 김해시 분성로 144(지번) 외동 238-3
355,울산옥현점,울산 남구 옥현로58번길 4(지번) 무거동 487-1
356,김해삼계DT점,경남 김해시 가야로 167(지번) 삼계동 1460-5
357,울산병영점,울산 중구 번영로 576(지번) 남외동 441-2
358,울산삼산DT점,울산 남구 화합로 201(지번) 삼산동 1550-13
359,부산구서DT점,부산 금정구 중앙대로 1957(지번) 구서동 163-2
360,진해자은DT,경남 창원시 진해구 진해대로 950(지번) 자은동 808-2
361,달동점,울산 남구 신정로 37(지번) 달동 707-1
362,부산덕천DT점,부산 북구 금곡대로 107(지번) 덕천동 554-1
363,울산옥동점,울산 남구 문수로423번길 2(지번) 신정동 1639-36
364,울산SK DT점,울산 남구 중앙로 126(지번) 달동 819
365,부산구남DT점,부산 북구 백양대로 1045(지번) 구포동 920-16
